CPU_Utilization,Thread_Queue_Length,Stress_Score,App_Hash,Last_Adjustment,PerformanceBoost_Label
4.13157,0,1.44605,0,1.02253,0
3.17148,0,1.11002,0,1.13514,0
4.85273,0,1.69846,0,1.44605,0
5.51007,0,1.92853,0,1.11002,0
4.07294,0,1.42553,0,1.69846,0
3.51628,0,1.2307,0,1.92853,0
10.9792,0,3.84273,0,1.42553,0
9.47069,2,17.2855,0,1.2307,0
16.008,1,14.4174,0,3.84273,0
16.13,0,5.6455,0,17.2855,0
15.9924,0,5.59733,0,14.4174,0
16.0023,0,5.60079,0,5.6455,0
14.503,0,5.07604,0,5.59733,0
12.0284,1,13.0245,0,5.60079,0
17.2711,0,6.04489,0,13.0245,0
14.4268,0,5.04938,0,5.07604,0
15.1377,0,5.2982,0,6.04489,0
16.0944,0,5.63306,0,5.04938,0
16.5115,0,5.77901,0,5.2982,0
16.02,0,5.60698,0,5.63306,0
16.2352,0,5.68233,0,5.60698,0
15.5065,0,5.42726,0,5.77901,0
15.956,1,14.3992,0,5.68233,0
16.8799,1,14.7225,0,5.42726,0
13.2028,0,4.62099,0,14.7225,0
13.79,0,4.82649,0,14.3992,0
16.8575,0,5.90011,0,4.82649,0
17.2205,0,6.02718,0,4.62099,0
12.8632,0,4.50212,0,5.90011,0
18.0309,0,6.31081,0,13.4252,0
18.7945,1,15.3927,0,4.50212,0
12.3792,0,4.33274,0,15.3927,0
12.8739,0,4.50586,0,6.31081,0
18.9282,0,6.62488,0,4.50586,0
16.8318,0,5.89113,0,4.33274,0
15.5681,0,5.44884,0,6.62488,0
15.586,2,19.4259,0,5.89113,0
7.58804,0,2.65582,0,5.44884,0
8.41735,0,2.94607,0,19.4259,0
1.84977,1,9.46199,0,2.65582,0
2.20529,0,0.771853,0,2.94607,0
0.672507,0,0.235377,0,0.771853,0
1.01654,0,0.35579,0,9.46199,0
3.65917,0,1.28071,0,0.235377,0
4.44217,0,1.55476,0,0.35579,0
3.58025,0,1.25309,0,1.28071,0
1.69255,0,0.592393,0,1.55476,0
1.03457,0,0.362099,0,1.25309,0
2.18635,0,0.765223,0,0.592393,0
1.66929,0,0.584251,0,0.765223,0
1.58032,0,0.55311,0,0.362099,0
2.03318,0,0.711615,0,0.584251,0
3.73015,0,1.30555,0,0.55311,0
4.54395,0,1.59038,0,0.711615,0
2.75214,0,0.963249,0,1.30555,0
1.96041,1,9.50071,0,1.59038,0
2.12959,0,0.745357,0,0.963249,0
1.37289,0,0.48051,0,9.50071,0
2.32032,0,0.812111,0,0.745357,0
1.86836,0,0.653925,0,0.48051,0
2.31538,0,0.810383,0,0.812111,0
4.05148,0,1.41802,0,0.653925,0
2.97364,0,1.04077,0,0.810383,0
11.4758,0,4.01655,0,1.41802,0
12.609,0,4.41313,0,1.04077,0
14.0233,0,4.90817,0,4.01655,0
15.1003,1,14.0997,0,4.41313,0
14.9353,0,5.22736,0,14.0997,0
